name,year,kms_driven,fuel_type,Price
Maruti Swift Dzire VDI,2014,145500,Diesel,450000
Skoda Rapid 1.5 TDI Ambition,2014,120000,Diesel,370000
Honda City 2017-2020 EXi,2006,140000,Petrol,158000
Hyundai i20 Sportz Diesel,2010,127000,Diesel,225000
Maruti Swift VXI BSIII,2007,120000,Petrol,130000
Hyundai Xcent 1.2 VTVT E Plus,2017,45000,Petrol,440000
Maruti Wagon R LXI DUO BSIII,2007,175000,LPG,96000
Maruti 800 DX BSII,2001,5000,Petrol,45000
Toyota Etios VXD,2011,90000,Diesel,350000
Ford Figo Diesel Celebration Edition,2013,169000,Diesel,200000
Renault Duster 110PS Diesel RxL,2014,68000,Diesel,500000
Maruti Zen LX,2005,100000,Petrol,92000
Maruti Swift Dzire VDi,2009,140000,Diesel,280000
Maruti Swift 1.3 VXi,2007,80000,Petrol,200000
Maruti Wagon R LXI Minor,2009,90000,Petrol,180000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,Petrol,400000
Maruti Ertiga SHVS VDI,2016,70000,Diesel,778000
Hyundai i20 1.4 CRDi Asta,2012,53000,Diesel,500000
Maruti Alto LX,2002,80000,Petrol,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,Diesel,680000
Mahindra Verito 1.5 D4 BSIII,2011,100000,Diesel,174000
Honda WR-V i-DTEC VX,2017,50000,Diesel,950000
Maruti Swift Dzire ZDI,2015,40000,Diesel,525000
Maruti SX4 ZDI,2012,72000,Diesel,600000
Tata Tigor 2017-2020 XZ,2018,35000,Petrol,500000
Maruti Baleno Delta 1.2,2016,45000,Petrol,575000
Maruti Alto 800 LXI,2017,28000,Petrol,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,Diesel,300000
Maruti Wagon R LXI Minor,2009,120000,Petrol,220000
Maruti Omni E MPI STD BS IV,2018,25000,Petrol,254999
Maruti Vitara Brezza LDi Option,2017,70000,Diesel,670000
Fiat Palio 1.2 ELX,2003,50000,Petrol,70000
Maruti Omni 8 Seater BSIV,2012,35000,Petrol,150000
Hyundai i20 1.2 Asta Dual Tone,2018,2388,Petrol,730000
Maruti Vitara Brezza LDi,2017,16200,Diesel,650000
Maruti Alto 800 CNG LXI Optional,2019,10000,CNG,330000
Maruti Alto K10 VXI Airbag,2019,15000,Petrol,366000
Hyundai Verna VTVT 1.6 SX Option,2019,5000,Petrol,1149000
Datsun GO D,2016,42000,Petrol,150000
Tata Safari DICOR 2.2 LX 4x2,2011,60000,Diesel,425000
Maruti 800 Std,2012,76000,Petrol,150000
Jeep Compass 1.4 Limited Plus BSIV,2019,5000,Petrol,2100000
Honda City i VTEC VX,2018,28900,Petrol,925000
Honda City V MT,2013,86300,Petrol,425000
Maruti Swift Dzire VXi AT,2018,23300,Petrol,675000
Maruti Vitara Brezza VDi,2018,32600,Diesel,819999
Maruti Alto K10 VXI,2018,10300,Petrol,390000
Toyota Fortuner 4x4 MT,2014,77000,Diesel,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,Diesel,700000
Mercedes-Benz B Class B180,2014,27800,Diesel,1450000
Honda Amaze S Diesel,2015,49800,Diesel,425000
Mitsubishi Pajero Sport 4X4,2013,151000,Diesel,1090000
Honda City i DTEC S,2015,54700,Diesel,600000
Maruti Ciaz Zeta,2018,64000,Petrol,850000
Honda Jazz VX Diesel,2015,63000,Diesel,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,Diesel,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,Diesel,950000
Audi A6 2.0 TDI Technology,2013,33900,Diesel,1750000
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,1590000
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,1689999
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,1425000
Tata Manza ELAN Quadrajet BS IV,2011,120000,Diesel,265000
Hyundai i10 Magna,2011,110000,Petrol,190000
Hyundai i20 Asta 1.4 CRDi,2013,60000,Diesel,425000
Maruti Swift Dzire ZDI,2015,147000,Diesel,630000
Ford Figo 1.2P Titanium MT,2017,25000,Petrol,600000
Maruti Baleno Delta 1.2,2019,30000,Petrol,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,Diesel,540000
Honda City i DTEC VX,2015,135000,Diesel,630000
Maruti Wagon R AMT VXI,2018,30000,Petrol,448000
Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,Diesel,500000
Maruti Vitara Brezza VDi,2016,70000,Diesel,745000
Maruti Vitara Brezza ZDi Plus AMT,2019,9850,Diesel,1025000
Hyundai i10 Magna,2011,60000,Petrol,235000
Maruti Swift VDI Deca,2016,70000,Diesel,630000
Toyota Fortuner 4x4 MT,2015,78000,Diesel,1700000
Maruti Swift Star VDI,2013,120000,Diesel,450000
Maruti Ertiga ZXI,2012,120000,Petrol,450000
Tata Indica DLS,2003,70000,Diesel,50000
Volkswagen Vento Diesel Highline,2013,170000,Diesel,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,Diesel,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,Diesel,610000
BMW X1 sDrive20i xLine,2016,30000,Petrol,2500000
Maruti Celerio ZXI MT BSIV,2017,10000,Petrol,484999
Datsun GO A Petrol,2016,49000,Petrol,275000
Maruti Alto 800 VXI BSIV,2016,32000,Petrol,315000
Maruti Alto 800 LXI BSIV,2016,38000,Petrol,275000
Maruti Swift VDI BSIV W ABS,2015,78000,Diesel,475000
Hyundai i10 Era 1.1,2012,28000,Petrol,290000
Maruti Omni 8 Seater BSIV,2017,32000,Petrol,280000
