name,company,year,kms_driven,fuel_type,Price
Hyundai santro xing,Hyundai,2007,45000,Petrol,80000
Mahindra jeep cl550,Mahindra,2006,40,Diesel,425000
Hyundai grand i10,Hyundai,2014,28000,Petrol,325000
Ford ecosport titanium,Ford,2014,36000,Diesel,575000
Ford figo,Ford,2012,41000,Diesel,175000
Hyundai eon,Hyundai,2013,25000,Petrol,190000
Ford ecosport ambiente,Ford,2016,24530,Diesel,830000
Maruti suzuki alto,Maruti,2015,60000,Petrol,250000
Skoda fabia classic,Skoda,2010,60000,Petrol,182000
Maruti suzuki stingray,Maruti,2015,30000,Petrol,315000
Hyundai elite i20,Hyundai,2014,32000,Petrol,415000
Mahindra scorpio sle,Mahindra,2015,48660,Diesel,320000
Audi a8,Audi,2017,4000,Petrol,1000000
Audi q7,Audi,2014,16934,Diesel,500000
Mahindra scorpio s10,Mahindra,2016,43000,Diesel,350000
Maruti suzuki alto,Maruti,2014,35550,Petrol,160000
Mahindra scorpio s10,Mahindra,2016,39522,Diesel,310000
Maruti suzuki alto,Maruti,2015,39000,Petrol,75000
Hyundai i20 sportz,Hyundai,2012,55000,Petrol,100000
Maruti suzuki alto,Maruti,2017,72000,Petrol,190000
Maruti suzuki vitara,Maruti,2016,15975,Diesel,290000
Maruti suzuki alto,Maruti,2008,70000,Petrol,95000
Mahindra bolero di,Mahindra,2017,23452,Diesel,180000
Maruti suzuki swift,Maruti,2014,35522,Diesel,385000
Mahindra scorpio s10,Mahindra,2015,48508,Diesel,250000
Maruti suzuki swift,Maruti,2017,15487,Petrol,180000
Maruti suzuki wagon,Maruti,2013,39000,Petrol,105000
Toyota innova 2.0,Toyota,2012,82000,Diesel,650000
Renault lodgy 85,Renault,2018,20000,Diesel,689999
Skoda yeti ambition,Skoda,2012,68000,Diesel,448000
Maruti suzuki baleno,Maruti,2017,32000,Diesel,549000
Renault duster 110,Renault,2012,38000,Diesel,501000
Renault duster 85,Renault,2013,27000,Diesel,489999
Honda city 1.5,Honda,2011,33000,Petrol,280000
Maruti suzuki dzire,Maruti,2013,46000,Diesel,349999
Honda amaze,Honda,2013,46000,Diesel,284999
Honda amaze 1.5,Honda,2015,36000,Diesel,345000
Honda city,Honda,2015,55000,Petrol,499999
Datsun redi go,Datsun,2017,16000,Petrol,235000
Maruti suzuki sx4,Maruti,2010,36000,Petrol,249999
Mahindra scorpio s10,Mahindra,2015,35000,Diesel,395000
Maruti suzuki swift,Maruti,2017,30874,Petrol,220000
Honda city zx,Honda,2017,15000,Diesel,170000
Maruti suzuki wagon,Maruti,2013,29685,Petrol,85000
Tata indigo ecs,Tata,2017,130000,Diesel,200000
Mahindra scorpio sle,Mahindra,2012,19000,Diesel,570000
Volkswagen polo highline,Volkswagen,2014,60000,Petrol,315000
Chevrolet spark ls,Chevrolet,2010,41000,Petrol,110000
Renault duster 110ps,Renault,2012,35000,Diesel,501000
Honda city,Honda,2015,54000,Petrol,448999
Skoda fabia 1.2l,Skoda,2011,38200,Diesel,159500
Honda amaze,Honda,2015,22000,Petrol,344999
Renault duster,Renault,2014,50000,Diesel,449999
Mahindra scorpio s4,Mahindra,2015,30000,Diesel,865000
Mahindra scorpio vlx,Mahindra,2014,50000,Diesel,699000
Mahindra quanto c8,Mahindra,2013,20000,Diesel,375000
Ford ecosport,Ford,2017,39000,Petrol,489999
Honda brio,Honda,2012,30000,Petrol,224999
Hyundai i20 magna,Hyundai,2009,32000,Petrol,195000
Toyota corolla altis,Toyota,2010,38000,Diesel,351000
Hyundai verna transform,Hyundai,2008,45000,Petrol,160000
Toyota corolla altis,Toyota,2009,35000,Petrol,240000
Honda city 1.5,Honda,2005,50000,Petrol,90000
Skoda fabia 1.2l,Skoda,2011,45863,Diesel,155000
Bmw 3 series,Bmw,2011,60500,Petrol,600000
Maruti suzuki a,Maruti,2011,12500,Petrol,189500
Toyota etios gd,Toyota,2013,60000,Diesel,350000
Ford figo diesel,Ford,2012,35000,Diesel,210000
Maruti suzuki swift,Maruti,2014,35000,Petrol,390000
Chevrolet beat lt,Chevrolet,2012,45000,Diesel,135000
Mahindra xuv500 w8,Mahindra,2013,38000,Diesel,701000
