name,company,year,kms_driven,fuel_type,Price
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"45,000 kms",Petrol,"80,000"
Mahindra Jeep CL550 MDI,Mahindra,2006,40 kms,Diesel,"4,25,000"
Maruti Suzuki Alto 800 Vxi,Maruti,2018,"22,000 kms",Petrol,Ask For Price
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"28,000 kms",Petrol,"3,25,000"
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"36,000 kms",Diesel,"5,75,000"
Ford EcoSport Titanium 1.5L TDCi,Ford,2015,"59,000 kms",Diesel,Ask For Price
Ford Figo,Ford,2012,"41,000 kms",Diesel,"1,75,000"
Hyundai Eon,Hyundai,2013,"25,000 kms",Petrol,"1,90,000"
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"24,530 kms",Diesel,"8,30,000"
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"60,000 kms",Petrol,"2,50,000"
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"60,000 kms",Petrol,"1,82,000"
Maruti Suzuki Stingray VXi,Maruti,2015,"30,000 kms",Petrol,"3,15,000"
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"32,000 kms",Petrol,"4,15,000"
Mahindra Scorpio SLE BS IV,Mahindra,2015,"48,660 kms",Diesel,"3,20,000"
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"45,000 kms",Petrol,"80,000"
Mahindra Jeep CL550 MDI,Mahindra,2006,40 kms,Diesel,"4,25,000"
Audi A8,Audi,2017,"4,000 kms",Petrol,"10,00,000"
Audi Q7,Audi,2014,"16,934 kms",Diesel,"5,00,000"
Mahindra Scorpio S10,Mahindra,2016,"43,000 kms",Diesel,"3,50,000"
Maruti Suzuki Alto 800,Maruti,2014,"35,550 kms",Petrol,"1,60,000"
Mahindra Scorpio S10,Mahindra,2016,"43,000 kms",Diesel,"3,50,000"
Mahindra Scorpio S10,Mahindra,2016,"39,522 kms",Diesel,"3,10,000"
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"39,000 kms",Petrol,"75,000"
Hyundai i20 Sportz 1.2,Hyundai,2012,"55,000 kms",Petrol,"1,00,000"
Hyundai i20 Sportz 1.2,Hyundai,2012,"55,000 kms",Petrol,"1,00,000"
Hyundai i20 Sportz 1.2,Hyundai,2012,"55,000 kms",Petrol,"1,00,000"
Maruti Suzuki Alto 800 Lx,Maruti,2017,"72,000 kms",Petrol,"1,90,000"
